,Moisture,rainfall,Average Humidity,Mean Temp,max Temp,Min temp,alkaline,sandy,chalky,clay,millet yield
0,12.80168453,0.0123605,57,62,71,52,1,0,0,0,0.0
1,12.85165378,0.00417157,57,58,73,43,0,0,0,1,1.0
2,12.7767735,0.0,56,58,69,46,0,0,0,1,1.0
3,12.94200101,0.03174683,62,56,70,43,0,1,0,0,0.0
4,12.98465248,0.0,65,56,70,42,0,1,0,0,4.0
5,12.96447065,0.02719149,65,58,70,46,0,0,0,1,1.0
6,12.73799817,0.02682104,61,56,70,42,1,0,0,0,4.0
7,12.81938179,0.01028368,58,57,72,42,1,0,0,0,0.0
8,12.88390946,0.02046472,63,60,76,45,1,0,0,0,0.0
9,12.78451285,0.06005408,62,59,71,47,0,0,1,0,4.0
10,12.96881184,0.0841193,56,58,69,46,0,0,0,1,1.0
11,12.7843595,0.0,63,56,70,42,0,0,0,1,1.0
12,12.94458595,0.0,67,58,72,43,1,0,0,0,4.0
13,12.92528314,0.12447929,58,60,75,46,1,0,0,0,0.0
14,12.82106565,0.07450455,59,58,68,49,0,0,0,1,1.0
15,12.93921935,0.09858411,53,60,68,53,0,1,0,0,2.0
16,12.81587164,0.2228459,62,60,69,50,0,1,0,0,0.0
17,13.05680988,0.12855534,59,56,67,45,1,0,0,0,0.0
18,12.89795679,0.11341892,58,54,68,40,0,0,0,1,1.0
19,13.0346369,0.08006364,58,53,68,38,0,0,0,1,1.0
20,13.02395422,0.0776757,66,55,63,47,1,0,0,0,0.0
21,12.86211512,0.09419903,71,57,68,46,0,1,0,0,0.0
22,12.85579057,0.08925248,72,53,63,43,0,1,0,0,0.0
23,12.93984685,0.11055694,65,53,66,40,0,1,0,0,0.0
24,12.94620194,0.12220198,84,55,60,50,0,0,0,1,1.0
25,12.83171628,0.1796935,73,56,69,43,0,0,0,1,1.0
26,13.12205893,0.28862131,73,60,73,48,0,1,0,0,0.0
27,12.71724703,0.26717011,54,60,70,50,0,1,0,0,4.0
28,12.79423954,0.18105142,57,58,69,48,0,0,0,1,1.0
29,12.96098767,0.15220806,59,59,68,50,1,0,0,0,0.0
30,12.82075799,0.05361401,64,60,69,51,0,1,0,0,0.0
31,12.80227313,0.16287162,52,55,69,41,0,0,0,1,1.0
32,12.80762843,0.29396519,61,54,69,39,0,1,0,0,0.0
33,12.88914851,0.17685429,49,59,73,45,0,0,0,1,1.0
34,12.93924725,0.1784297,52,65,75,55,1,0,0,0,0.0
35,13.0384665,0.12850257,59,64,75,54,1,0,0,0,0.0
36,12.64167089,0.05435099,71,64,75,54,0,0,0,1,1.0
37,12.96697487,0.03544632,63,67,78,56,0,0,0,1,1.0
38,13.07037221,0.07244817,73,68,76,59,0,1,0,0,0.0
39,12.94320219,0.13790993,85,65,74,56,0,0,0,1,1.0
40,12.83714428,0.26461286,72,68,74,61,0,0,0,1,1.0
41,12.85564934,0.27772908,61,68,75,60,1,0,0,0,0.0
42,12.89695812,0.33147006,57,71,84,58,0,1,0,0,2.0
43,12.79338186,0.291241,43,72,80,64,1,0,0,0,4.0
