Moisture,rainfall,Average Humidity,Mean Temp,max Temp,Min temp
12.80168453,0.0123605,57,62,71,52
12.85165378,0.00417157,57,58,73,43
12.7767735,0,56,58,69,46
12.94200101,0.03174683,62,56,70,43
12.98465248,0,65,56,70,42
12.96447065,0.02719149,65,58,70,46
12.73799817,0.02682104,61,56,70,42
12.81938179,0.01028368,58,57,72,42
12.88390946,0.02046472,63,60,76,45
12.78451285,0.06005408,62,59,71,47
12.96881184,0.0841193,56,58,69,46
12.7843595,0,63,56,70,42
12.94458595,0,67,58,72,43
12.92528314,0.12447929,58,60,75,46
12.82106565,0.07450455,59,58,68,49
12.93921935,0.09858411,53,60,68,53
12.81587164,0.2228459,62,60,69,50
13.05680988,0.12855534,59,56,67,45
12.89795679,0.11341892,58,54,68,40
13.0346369,0.08006364,58,53,68,38
13.02395422,0.0776757,66,55,63,47
12.86211512,0.09419903,71,57,68,46
12.85579057,0.08925248,72,53,63,43
12.93984685,0.11055694,65,53,66,40
12.94620194,0.12220198,84,55,60,50
12.83171628,0.1796935,73,56,69,43
13.12205893,0.28862131,73,60,73,48
12.71724703,0.26717011,54,60,70,50
12.79423954,0.18105142,57,58,69,48
12.96098767,0.15220806,59,59,68,50
12.82075799,0.05361401,64,60,69,51
12.80227313,0.16287162,52,55,69,41
12.80762843,0.29396519,61,54,69,39
12.88914851,0.17685429,49,59,73,45
12.93924725,0.1784297,52,65,75,55
13.0384665,0.12850257,59,64,75,54
12.64167089,0.05435099,71,64,75,54
12.96697487,0.03544632,63,67,78,56
13.07037221,0.07244817,73,68,76,59
12.94320219,0.13790993,85,65,74,56
12.83714428,0.26461286,72,68,74,61
12.85564934,0.27772908,61,68,75,60
12.89695812,0.33147006,57,71,84,58
12.79338186,0.291241,43,72,80,64
12.83275473,0.20511291,45,70,81,58
12.93266161,0.20236105,58,68,78,57
13.04729525,0.16655553,27,64,76,53
12.99599641,0.13364869,35,68,79,56
12.97598855,0.16297403,33,61,75,47
12.96488571,0.26244029,24,57,70,44
12.96671934,0.34866006,34,56,66,47
12.89354329,0.3132829,36,58,70,46
12.92064282,0.24893817,47,54,68,41
12.95699985,0.21139503,38,58,74,42
13.00500901,0.18104788,42,63,78,48
12.94590855,0.16706095,36,65,80,50
12.86579061,0.2056398,45,68,83,52
12.86920432,0.19301918,44,70,86,55
12.9500147,0.29078419,45,75,87,63
